,0
LIMIT_BAL,0.992866960519544
SEX,-0.42418342711569834
EDUCATION,0.9709720485684876
MARRIAGE,-0.018741681014311038
AGE,0.7322458687830562
PAY_0,0.7319749269085081
PAY_2,0.7905650222025086
PAY_3,0.8406818269466301
PAY_4,0.9996294133044786
PAY_5,1.0081970251062178
PAY_6,0.948029391555358
BILL_AMT1,2.6638610220232612
BILL_AMT2,2.7052208534082856
BILL_AMT3,3.0878300462007244
BILL_AMT4,2.8219652908028117
BILL_AMT5,2.8763798667028633
BILL_AMT6,2.8466445756603678
PAY_AMT1,14.66836433284317
PAY_AMT2,30.45381745016943
PAY_AMT3,17.216635435129238
PAY_AMT4,12.904984823542545
PAY_AMT5,11.127417052173817
PAY_AMT6,10.640727325044317
default payment next month,1.3435039508958166
